Variavel,Tipo,Teste,p-valor,Significativa (p<0.05)
OverTime,Categórica,Qui-quadrado,8.16e-21,True
JobRole,Categórica,Qui-quadrado,2.75e-15,True
MonthlyIncome,Numérica,t-test,4.43e-13,True
JobLevel,Numérica,t-test,9.84e-13,True
TotalWorkingYears,Numérica,t-test,1.16e-11,True
YearsInCurrentRole,Numérica,t-test,3.19e-11,True
MaritalStatus,Categórica,Qui-quadrado,9.46e-11,True
YearsWithCurrManager,Numérica,t-test,1.19e-10,True
Age,Numérica,t-test,1.38e-08,True
YearsAtCompany,Numérica,t-test,2.29e-07,True
StockOptionLevel,Numérica,t-test,2.81e-07,True
JobInvolvement,Numérica,t-test,4.68e-06,True
BusinessTravel,Categórica,Qui-quadrado,5.61e-06,True
JobSatisfaction,Numérica,t-test,1.05e-04,True
EnvironmentSatisfaction,Numérica,t-test,2.09e-04,True
DistanceFromHome,Numérica,t-test,0.0041,True
Department,Categórica,Qui-quadrado,0.0045,True
EducationField,Categórica,Qui-quadrado,0.0068,True
TrainingTimesLastYear,Numérica,t-test,0.0204,True
DailyRate,Numérica,t-test,0.03,True
WorkLifeBalance,Numérica,t-test,0.0305,True
RelationshipSatisfaction,Numérica,t-test,0.0897,False
NumCompaniesWorked,Numérica,t-test,0.1163,False
YearsSinceLastPromotion,Numérica,t-test,0.1987,False
Education,Numérica,t-test,0.2242,False
Gender,Categórica,Qui-quadrado,0.2906,False
MonthlyRate,Numérica,t-test,0.5653,False
PercentSalaryHike,Numérica,t-test,0.6144,False
HourlyRate,Numérica,t-test,0.7914,False
PerformanceRating,Numérica,t-test,0.9125,False
